Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Area,Item
2005,608.0,2232.25,8.58,Bulgaria,Soybeans
1995,589.0,7715.0,10.34,Hungary,Wheat
1993,854.0,8985.0,15.33,Portugal,"Rice, paddy"
2012,2051.0,909.71,27.51,Jamaica,Sweet potatoes
2007,700.0,40740.64,10.88,Germany,Maize
1992,1083.0,70791.0,26.78,India,Wheat
1995,1083.0,61257.0,25.44,India,Potatoes
2009,778.0,9857.2,10.33,Netherlands,Wheat
1995,758.0,34468.93,25.01,Mexico,Sorghum
2001,758.0,31373.3,19.32,Mexico,Cassava
1998,1083.0,49157.0,25.87,India,Wheat
1992,1083.0,70791.0,25.73,India,Wheat
1995,495.0,18025.0,15.77,South Africa,Sorghum
1994,1537.0,1922.5,8.78,Switzerland,Potatoes
1999,59.0,2853.74,26.92,Saudi Arabia,Wheat
2000,1761.0,140423.0,20.32,Brazil,Wheat
2010,2051.0,909.71,27.09,Jamaica,Maize
2010,495.0,26857.0,16.11,South Africa,Sweet potatoes
2007,534.0,32446.25,18.02,Australia,Soybeans
1991,1761.0,58349.44,20.13,Brazil,Sweet potatoes
1990,1083.0,75000.0,25.44,India,Soybeans
2012,2702.0,1597.0,27.48,Indonesia,"Rice, paddy"
2010,534.0,42169.39,20.33,Australia,Maize
1998,383.0,19.61,24.78,Eritrea,Maize
1991,1083.0,72133.0,23.77,India,Potatoes
2006,1300.0,9143.45,17.13,Uruguay,Potatoes
2006,591.0,65872.12,18.35,Argentina,Potatoes
2004,1537.0,1390.7,7.67,Switzerland,Potatoes
1991,591.0,26156.0,17.64,Argentina,Wheat
1991,1083.0,72133.0,25.06,India,Sorghum
2001,1513.0,87.59,20.12,Madagascar,Cassava
2005,59.0,3875.97,26.27,Saudi Arabia,Maize
1997,1761.0,110276.11,25.2,Brazil,Wheat
2005,1622.0,43831.0,27.92,Thailand,Potatoes
2002,657.0,3023.72,21.08,Zimbabwe,Sorghum
1998,285.0,56.0,20.83,Namibia,Maize
1992,758.0,34468.93,24.87,Mexico,Potatoes
2011,562.0,278.72,8.93,Armenia,Maize
2004,1083.0,35113.0,27.16,India,Potatoes
1994,534.0,21057.0,16.43,Australia,Sorghum
2000,593.0,33471.0,17.97,Turkey,"Rice, paddy"
2006,1761.0,238716.0,21.82,Brazil,Wheat
2004,1083.0,35113.0,26.24,India,Cassava
2012,1712.0,2469.47,26.42,Sudan,Maize
2000,92.0,39.09,27.66,Mauritania,Wheat
2004,637.0,6778.2,11.63,Romania,Sorghum
2006,758.0,50891.95,21.5,Mexico,Soybeans
2005,1083.0,35342.0,27.49,India,Potatoes
1990,1712.0,1571.33,26.53,Sri Lanka,Sweet potatoes
1992,636.0,31839.0,16.35,Spain,Maize
2005,758.0,51741.99,16.93,Mexico,Sweet potatoes
2007,1083.0,27422.77,26.39,India,Wheat
2006,854.0,15702.0,16.84,Portugal,Potatoes
1995,2274.0,2658.0,21.96,Ecuador,Soybeans
2013,282.0,1.52,28.53,Mali,Sorghum
1995,1622.0,24062.0,27.68,Thailand,Sorghum
1999,494.0,20450.0,25.5,Pakistan,"Rice, paddy"
1992,2702.0,825.0,25.17,Indonesia,Cassava
1991,1083.0,72133.0,26.9,India,Cassava
2007,494.0,5935.96,27.69,Pakistan,Potatoes
2011,591.0,100424.62,17.58,Argentina,Soybeans
2008,3240.0,48538.97,22.07,Colombia,Yams
1996,534.0,31185.0,19.13,Australia,Wheat
2010,2280.0,12242.19,27.01,Nicaragua,Sorghum
1999,1220.0,35537.0,9.67,United Kingdom,Wheat
2004,1181.0,48.28,20.44,Malawi,Cassava
2002,1083.0,42482.56,26.79,India,Sweet potatoes
2004,1083.0,35113.0,25.32,India,Wheat
2001,758.0,31373.3,22.6,Mexico,Potatoes
2004,636.0,47445.0,17.12,Spain,Wheat
1997,1522.0,15373.0,13.66,Chile,Sweet potatoes
2000,56.0,3277.13,19.59,Libya,Maize
2012,534.0,48687.88,14.27,Australia,Sorghum
1999,1732.0,2535.3,13.87,New Zealand,Potatoes
2006,494.0,6925.13,27.29,Pakistan,Maize
1997,2702.0,1597.0,27.26,Indonesia,"Rice, paddy"
2007,656.0,2722.82,7.44,Lithuania,Potatoes
1998,691.0,676.63,8.34,Tajikistan,Maize
2001,1668.0,78735.45,15.97,Japan,Wheat
1999,618.0,8306.31,7.38,Belarus,Wheat
1992,832.0,88227.6,12.89,Italy,Soybeans
2012,832.0,61889.0,8.05,Italy,Maize
1990,1784.0,2524.0,26.06,El Salvador,Potatoes
2004,2274.0,29799.84,17.73,Ecuador,Sweet potatoes
1992,1083.0,70791.0,25.27,India,Wheat
1998,1410.0,4375.0,27.16,Dominican Republic,Cassava
2011,3142.0,105.0,25.17,Papua New Guinea,Maize
2004,537.0,36138.0,4.91,Canada,Potatoes
1997,636.0,34023.0,17.66,Spain,Potatoes
1991,1761.0,58349.44,19.11,Brazil,Yams
2009,1083.0,28707.01,26.92,India,Soybeans
1991,346.0,9771.14,17.47,Morocco,Soybeans
2004,59.0,3705.6,26.53,Saudi Arabia,Sorghum
1994,51.0,4283.0,22.02,Egypt,Maize
1992,250.0,17182.0,6.2,Kazakhstan,Maize
1999,1712.0,1766.91,26.32,Sri Lanka,"Rice, paddy"
1998,1522.0,15373.0,6.28,Chile,Sweet potatoes
2010,495.0,26857.0,19.31,South Africa,Sweet potatoes
1992,495.0,16582.0,21.53,South Africa,Potatoes
1991,1212.0,107.0,19.22,Rwanda,Sweet potatoes
1997,534.0,34091.0,20.16,Australia,Sweet potatoes
1991,591.0,26156.0,17.64,Argentina,Sweet potatoes
2007,51.0,9105.0,21.51,Egypt,Wheat
1994,59.0,994.0,26.26,Saudi Arabia,Maize
1994,346.0,10992.57,17.98,Morocco,Maize
1994,1651.0,39.0,27.03,Guinea,Plantains and others
1999,1761.0,127585.0,17.66,Brazil,Yams
2010,1668.0,55576.0,16.01,Japan,Maize
1996,1083.0,56114.0,25.55,India,Wheat
2001,758.0,31373.3,20.15,Mexico,Soybeans
2001,591.0,63700.17,18.42,Argentina,Cassava
2007,2387.0,246.5,27.3,Guyana,Sweet potatoes
1996,494.0,11955.0,22.61,Pakistan,"Rice, paddy"
2007,637.0,6314.0,12.99,Romania,Soybeans
1991,748.0,29.1,28.4,Burkina Faso,Sweet potatoes
2001,3240.0,85515.3,27.28,Colombia,Maize
2007,2702.0,1597.0,27.29,Indonesia,Cassava
2007,1761.0,304031.0,22.19,Brazil,Cassava
2010,1712.0,1450.54,26.83,Sri Lanka,Sorghum
1992,2702.0,825.0,26.72,Indonesia,Soybeans
2002,494.0,10881.83,23.83,Pakistan,Sorghum
2009,758.0,61690.08,23.23,Mexico,Sweet potatoes
1995,1180.0,88.0,23.72,Uganda,"Rice, paddy"
1993,2875.0,39406.48,26.99,Malaysia,"Rice, paddy"
2009,637.0,6548.7,12.47,Romania,Sorghum
1991,494.0,5962.0,25.87,Pakistan,Soybeans
2007,657.0,3199.63,20.75,Zimbabwe,Wheat
1990,2702.0,2432.0,27.05,Indonesia,Maize
2007,1712.0,1439.8,26.57,Sri Lanka,Soybeans
2005,494.0,7914.31,24.66,Pakistan,Potatoes
2001,1083.0,43720.04,25.95,India,Potatoes
2010,1712.0,1450.54,26.83,Sri Lanka,Sweet potatoes
2000,250.0,3024.42,7.26,Kazakhstan,Sorghum
2008,2387.0,234.27,27.31,Guyana,Plantains and others
2008,1761.0,312637.0,27.54,Brazil,Potatoes
1990,51.0,13214.0,20.73,Egypt,Sweet potatoes
1995,1761.0,92967.22,25.65,Brazil,Sweet potatoes
1994,1761.0,84312.78,19.15,Brazil,Cassava
1994,1668.0,79821.18,13.78,Japan,Soybeans
2002,59.0,3364.86,26.63,Saudi Arabia,Wheat
2007,51.0,9105.0,22.36,Egypt,Wheat
2008,589.0,12084.0,11.55,Hungary,Potatoes
1991,92.0,39.09,27.38,Mauritania,Maize
1992,1668.0,79821.18,12.94,Japan,Wheat
1991,1414.0,760.0,3.4,Norway,Potatoes
2000,494.0,27885.0,27.12,Pakistan,Soybeans
1995,534.0,25598.0,16.95,Australia,Potatoes
1991,494.0,5962.0,24.38,Pakistan,Wheat
2001,652.0,10725.0,18.67,Greece,Soybeans
2011,1410.0,6316.61,26.79,Dominican Republic,Potatoes
1999,1761.0,127585.0,25.32,Brazil,Cassava
2011,1761.0,345026.0,24.32,Brazil,"Rice, paddy"
2010,1032.0,1187.1,22.1,Mozambique,Wheat
2004,691.0,228.5,9.24,Tajikistan,Soybeans
1999,1440.0,26.32,27.01,Haiti,Yams
2008,534.0,42935.38,16.7,Australia,"Rice, paddy"
1991,2274.0,2377.0,21.91,Ecuador,Sweet potatoes
2008,1292.0,268.2,25.63,Bahamas,Sweet potatoes
2008,1113.0,2388.0,11.09,Croatia,Soybeans
2009,1083.0,28707.01,25.99,India,Potatoes
1990,1712.0,1571.33,26.53,Sri Lanka,"Rice, paddy"
2010,591.0,105915.04,17.33,Argentina,Sweet potatoes
1999,416.0,17.0,20.24,Botswana,Maize
2013,1761.0,367778.0,20.07,Brazil,Soybeans
1998,661.0,1816.0,20.19,Lebanon,Potatoes
1994,1083.0,61357.0,25.87,India,Sorghum
